Tid	Kanal A
(ms)	(mV)

16.39999959	0.91966040
16.59999958	3.67864200
16.79999958	8.27694300
16.99999957	9.19660400
17.19999957	11.03900000
17.39999956	11.95866000
17.59999956	11.03900000
17.79999955	11.95866000
17.99999955	11.03900000
18.19999954	11.95866000
18.39999954	9.19660400
18.59999953	6.43762300
18.79999953	0.00000000
18.99999952	-7.35728300
19.19999951	-12.87832000
19.39999951	-21.15834000
19.59999950	-26.67630000
19.79999950	-26.67630000
19.99999949	-25.75664000
20.19999949	-19.31594000
20.39999948	-10.11934000
20.59999948	-0.91966040
20.79999947	9.19660400
20.99999947	17.47662000
21.19999946	24.83698000
21.39999946	26.67630000
21.59999945	23.91732000
21.79999945	21.15834000
21.99999944	12.87832000
22.19999944	4.59830200
22.39999943	-1.83932100
22.59999943	-9.19660400
22.79999942	-15.63730000
22.99999942	-17.47662000
23.19999941	-13.79798000
23.39999941	-16.55696000
23.59999940	-13.79798000
23.79999940	-17.47662000
23.99999939	-9.19660400
24.19999939	-8.27694300
24.39999938	-4.59830200
24.59999938	-3.67864200
24.79999937	0.00000000
24.99999937	5.51796200
25.19999936	10.11934000
25.39999936	14.71764000
25.59999935	20.23868000
25.79999935	22.07800000
25.99999934	21.15834000
26.19999934	18.39628000
26.39999933	11.03900000
26.59999933	4.59830200
26.79999932	-5.51796200
26.99999932	-14.71764000
27.19999931	-23.91732000
27.39999931	-27.59596000
27.59999930	-28.51562000
27.79999930	-23.91732000
27.99999929	-20.23868000
28.19999929	-11.95866000
28.39999928	-1.83932100
28.59999928	7.35728300
28.79999927	12.87832000
28.99999927	18.39628000
29.19999926	19.31594000
29.39999926	18.39628000
29.59999925	16.55696000
29.79999925	12.87832000
29.99999924	9.19660400
30.19999924	2.75898100
30.39999923	0.91966040
30.59999923	-2.75898100
30.79999922	-4.59830200
30.99999922	-9.19660400
31.19999921	-11.03900000
31.39999921	-14.71764000
31.59999920	-15.63730000
31.79999920	-17.47662000
31.99999919	-18.39628000
32.19999919	-18.39628000
32.39999918	-15.63730000
32.59999918	-5.51796200
32.79999917	0.00000000
32.99999917	8.27694300
33.19999916	15.63730000
33.39999916	22.07800000
33.59999915	27.59596000
33.79999915	25.75664000
33.99999914	22.99766000
34.19999914	13.79798000
34.39999913	4.59830200
34.59999913	-4.59830200
34.79999912	-14.71764000
34.99999912	-22.07800000
35.19999911	-24.83698000
35.39999911	-23.91732000
35.59999910	-19.31594000
35.79999910	-18.39628000
35.99999909	-11.95866000
36.19999909	-4.59830200
36.39999908	-0.91966040
36.59999908	4.59830200
36.79999907	7.35728300
36.99999907	8.27694300
37.19999906	11.03900000
37.39999906	10.11934000
37.59999905	12.87832000
37.79999905	11.95866000
37.99999904	12.87832000
38.19999903	11.95866000
38.39999903	9.19660400
38.59999902	3.67864200
38.79999902	-0.91966040
38.99999901	-7.35728300
39.19999901	-15.63730000
39.39999900	-22.07800000
39.59999900	-25.75664000
39.79999899	-26.67630000
39.99999899	-24.83698000
40.19999898	-19.31594000
40.39999898	-8.27694300
40.59999897	0.00000000
40.79999897	9.19660400
40.99999896	18.39628000
41.19999896	23.91732000
41.39999895	25.75664000
41.59999895	22.99766000
41.79999894	21.15834000
41.99999894	14.71764000
42.19999893	5.51796200
42.39999893	0.00000000
42.59999892	-8.27694300
42.79999892	-13.79798000
42.99999891	-15.63730000
43.19999891	-16.55696000
43.39999890	-14.71764000
43.59999890	-11.95866000
43.79999889	-11.03900000
43.99999889	-9.19660400
44.19999888	-7.35728300
